YearStart,YearEnd,StateAbbr,LocationAbbr,LocationDesc,GeographicLevel,DataSource,Topic,Category,Question,Response,Age,Sex,RaceEthnicity,RiskFactor,RiskFactorResponse,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_limit,High_Confidence_Limit,Numerator,LocationID,GeoLocation,TopicID,CategoryID,QuestionID,ResponseID,DataValueTypeID,AgeID,SexID,RaceEthnicityID,RiskFactorID,RiskFactorResponseID,NonWeightedSample,WeightedSample,SampleSize
2022,2022,US,US,National,National,NHATS,Visual Function,Measured Visual Acuity,Presenting visual acuity,Presenting with moderate visual impairment,65 years and older,Both sexes,Other,Residential care,No,%,Age-adjusted Prevalence,,#,Value suppressed,,,,59,,TVFUNC,CVISAC,QPVISA,RVPMOD,AGEADJPREV,AGE65PLUS,GALL,OTH,RFRES,RFNO,,,
2022,2022,US,US,National,National,NHATS,Visual Function,Measured Visual Acuity,Presenting near acuity,Presenting with normal near acuity,65 years and older,Both sexes,"White, non-Hispanic",Smoking,No,%,Age-adjusted Prevalence,61.92,,,59.21,64.63,9286514,59,,TVFUNC,CVISAC,QPNEAR,RVPNEARNOR,AGEADJPREV,AGE65PLUS,GALL,WHT,RFSM,RFNO,1508,14997600,
2022,2022,US,US,National,National,NHATS,Visual Function,Measured Visual Acuity,Presenting near acuity,Presenting with any near acuity loss,65 years and older,Both sexes,"White, non-Hispanic",Residential care,No,%,Age-adjusted Prevalence,38.88,,,37.01,40.76,13902100,59,,TVFUNC,CVISAC,QPNEAR,RVPNEAR,AGEADJPREV,AGE65PLUS,GALL,WHT,RFRES,RFNO,3258,35756431,
2022,2022,US,US,National,National,NHATS,Visual Function,Contrast Sensitivity,Contrast sensitivity,Normal Contrast Sensitivity,70-74 years,Male,All races,All participants,Total,%,Crude Prevalence,80.59,,,75.02,85.39,5586802,59,,TVFUNC,CCONT,QCNTRST,RCONTNORM,CRDPREV,AGE7074,GM,ALLRACE,RFAPAR,RFTOT,457,6932106,
2022,2022,US,US,National,National,NHATS,Visual Function,Measured Visual Acuity,Presenting near acuity,Presenting with normal near acuity,65 years and older,Male,All races,Residential care,Yes,%,Age-adjusted Prevalence,47.36,,,38.26,56.47,283210,59,,TVFUNC,CVISAC,QPNEAR,RVPNEARNOR,AGEADJPREV,AGE65PLUS,GM,ALLRACE,RFRES,RFYES,100,597995,
2022,2022,US,US,National,National,NHATS,Visual Function,Measured Visual Acuity,Presenting visual acuity,Presenting with visual impairment,65 years and older,Both sexes,"White, non-Hispanic",Smoking,No,%,Crude Prevalence,23.67,,,20.85,26.67,3607735,59,,TVFUNC,CVISAC,QPVISA,RVPIMP,CRDPREV,AGE65PLUS,GALL,WHT,RFSM,RFNO,1532,15243697,
2022,2022,US,US,National,National,NHATS,Visual Function,Contrast Sensitivity,Contrast sensitivity,Normal Contrast Sensitivity,80-84 years,Both sexes,"Black, non-Hispanic",All participants,Total,%,Crude Prevalence,59.49,,,51.88,66.78,265198,59,,TVFUNC,CCONT,QCNTRST,RCONTNORM,CRDPREV,AGE8084,GALL,BLK,RFAPAR,RFTOT,234,445797,
2022,2022,US,US,National,National,NHATS,Visual Function,Measured Visual Acuity,Presenting visual acuity,Presenting with normal vision,65 years and older,Female,All races,Residential care,Yes,%,Crude Prevalence,48.61,,,38.34,58.97,667090,59,,TVFUNC,CVISAC,QPVISA,RVPNOR,CRDPREV,AGE65PLUS,GF,ALLRACE,RFRES,RFYES,193,1372276,
2022,2022,US,US,National,National,NHATS,Visual Function,Contrast Sensitivity,Contrast sensitivity,Severe Contrast Sensitivity Loss,65 years and older,Both sexes,"Hispanic, any race",Smoking,No,%,Age-adjusted Prevalence,12.99,,,7.3,18.67,151656,59,,TVFUNC,CCONT,QCNTRST,RCONTSEV,AGEADJPREV,AGE65PLUS,GALL,HISP,RFSM,RFNO,193,1167480,
2022,2022,US,US,National,National,NHATS,Visual Function,Measured Visual Acuity,Presenting visual acuity,Presenting with any vision loss,65 years and older,Both sexes,"Black, non-Hispanic",Residential care,Yes,%,Age-adjusted Prevalence,,#,Value suppressed,,,,59,,TVFUNC,CVISAC,QPVISA,RVPANY,AGEADJPREV,AGE65PLUS,GALL,BLK,RFRES,RFYES,,,
2022,2022,US,US,National,National,NHATS,Visual Function,Contrast Sensitivity,Contrast sensitivity,Normal Contrast Sensitivity,65 years and older,Both sexes,Other,Residential care,No,%,Crude Prevalence,68.24,,,58.47,76.95,1303626,59,,TVFUNC,CCONT,QCNTRST,RCONTNORM,CRDPREV,AGE65PLUS,GALL,OTH,RFRES,RFNO,164,1910440,
2022,2022,US,US,National,National,NHATS,Visual Function,Contrast Sensitivity,Contrast sensitivity,Normal Contrast Sensitivity,80-84 years,Both sexes,All races,Smoking,No,%,Crude Prevalence,73.3,,,68.27,77.93,1912480,59,,TVFUNC,CCONT,QCNTRST,RCONTNORM,CRDPREV,AGE8084,GALL,ALLRACE,RFSM,RFNO,523,2608954,
2022,2022,US,US,National,National,NHATS,Visual Function,Measured Visual Acuity,Presenting visual acuity,Presenting with moderate visual impairment,75-79 years,Female,All races,All participants,Total,%,Crude Prevalence,1.61,,,0.48,3.88,90949,59,,TVFUNC,CVISAC,QPVISA,RVPMOD,CRDPREV,AGE7579,GF,ALLRACE,RFAPAR,RFTOT,779,5657655,
2022,2022,US,US,National,National,NHATS,Visual Function,Measured Visual Acuity,Presenting visual acuity,Presenting with any vision loss,65 years and older,Both sexes,"Hispanic, any race",Diabetes,No,%,Crude Prevalence,33.25,,,27.27,39.66,811855,59,,TVFUNC,CVISAC,QPVISA,RVPANY,CRDPREV,AGE65PLUS,GALL,HISP,RFDM,RFNO,360,2441388,
2022,2022,US,US,National,National,NHATS,Visual Function,Contrast Sensitivity,Contrast sensitivity,Mild Contrast Sensitivity Loss,65 years and older,Male,All races,Diabetes,No,%,Age-adjusted Prevalence,11.65,,,9.97,13.32,1845915,59,,TVFUNC,CCONT,QCNTRST,RCONTMIL,AGEADJPREV,AGE65PLUS,GM,ALLRACE,RFDM,RFNO,1603,15844764,
2022,2022,US,US,National,National,NHATS,Visual Function,Measured Visual Acuity,Presenting visual acuity,Presenting with any vision loss,85-89 years,Both sexes,Other,All participants,Total,%,Crude Prevalence,,#,Value suppressed,,,,59,,TVFUNC,CVISAC,QPVISA,RVPANY,CRDPREV,AGE8589,GALL,OTH,RFAPAR,RFTOT,,,
2022,2022,US,US,National,National,NHATS,Visual Function,Measured Visual Acuity,Presenting visual acuity,Presenting with visual impairment,70-74 years,Both sexes,All races,Smoking,No,%,Crude Prevalence,22.07,,,16.91,27.97,1134596,59,,TVFUNC,CVISAC,QPVISA,RVPIMP,CRDPREV,AGE7074,GALL,ALLRACE,RFSM,RFNO,375,5140031,
2022,2022,US,US,National,National,NHATS,Visual Function,Measured Visual Acuity,Presenting visual acuity,Presenting with visual impairment,65 years and older,Both sexes,"Hispanic, any race",Diabetes,Yes,%,Age-adjusted Prevalence,43.57,,,38.61,48.52,603573,59,,TVFUNC,CVISAC,QPVISA,RVPIMP,AGEADJPREV,AGE65PLUS,GALL,HISP,RFDM,RFYES,254,1385294,
2022,2022,US,US,National,National,NHATS,Visual Function,Measured Visual Acuity,Presenting visual acuity,Presenting with visual impairment,85-89 years,Male,All races,All participants,Total,%,Crude Prevalence,40.43,,,32.56,48.68,516220,59,,TVFUNC,CVISAC,QPVISA,RVPIMP,CRDPREV,AGE8589,GM,ALLRACE,RFAPAR,RFTOT,288,1276760,
